2010 5월 17일 자 릴리즈 노트
------------------------------
릴리즈버전 : v3-11-0516a-cu

구분	내용
-------------------------------------------------------------------------------------------------
결재	( , ) 부분이 깨져서 나타나는 문제 해결
결재	결재작성의 결재내용 글자수가 길면 오류가 나는 문제
결재	결재함/상신함/기결함/요청접수의 삭제기능
결재	결재 수정기능
결재	결재상신취소안되는 문제 해결
결재	상신함에서 결재타입으로 필터링
관리자	권한 수정 후 적용 할 때 충돌현상
관리자	권한그룹을 추가하고 권한그룹별 메뉴를 지정하는 기능
관리자	법적 및 일반 문구 입력란 추가
관리자	종전유저를 삭제 후 신규등록시 등록이 안되는 문제
관리자	자동로그 아웃 시간을 늘려주기
관리자	회사로고 및 직인을 수정하는 기능
관리자	회사 정보 수정 기능
구매	구매담당자가 결재서류 미리 볼 수 있게 함, 결재중인 구매요청 현황 관리자 보기
구매	주문서에 부가세 별도 표시함
구매	정산서에서 발주번호 볼수있게 함
구매	개별납기 주문서에
구매	구매요청 접수에서 첨부문서 보기
구매	구매요청접수 명령어에 excel출력 버튼 달아서 엑셀로 출력 할 수 있도록 하기
상품	상품 구분 변경(SW,AMESim,CarSim,HILS,계측)
상품	상품단위 다양화
상품	상품 검색/수정 상품 재고수량을 보여준다 
상품	상품관리 검색/수정 에서 상품을 삭제시 삭제가 안되는 현상
상품	상품코드를 바코드번호로 표시하는 기능
서비스	서비스처리계획 파일 업로드
서비스	서비스요청 담당자 접수
서비스	서비스처리 완료 보고
서비스	서비스처리 계획 수립
영업	영업계획 작성시 품목구분
영업	영업계획 작성시 프로젝트 생성 구분
영업	영업계획 파일 업로드
영업	영업계획 분석 - 연간전망
영업	영업계획 분석 - 예상매출
일반	모든 검색/수정 화면을 분리하여 사용하기
자재	자재번호에 특수문자 넣을 수 있게 개선
자재	프로젝트BOM 관리자에서 Assembly 소팅 기능 및 소팅상태 유지 기능 추가
자재	자재등록 구분하여 상품으로 등록 및 입고 시 상품재고로
자재	원자재/고정자산/소모성 자재 관리 기능 
자재	엑셀업로드시 종전코드 입력하기
자재	자재 검색/수정 재고수량을 보여줌 
자재	자재 등록 할 때 상품 등록 안하게 상품 검색시 상품만 검색 하게 자재와 상품 분리
자재	자재마스터 검색/수정에서 like검색 하기
자재	자재재고를 Excel로 등록 할 수 있도록 함
자재	재고 기능
자재	재고분석 기능
자재	프로젝트BOM관리자에서 자재이력에 입고정보가 뜨도록 함
재고	상품입고/출고 기능추가
주문	재고품관리를 하고 재고품은 사내발주 처리
주문	주무서의 "발주량" --> 수량으로
주문	주문결재 경우 결재자가 결재 수정
주문	주문상신을 취소하면 자재가 2중으로 된다.
주문	주문생성에서 [Tab]로 위치이동하여 가격 넣기
주문	주문서에 발주 하기전 설계자의 초기 가격과 최종가격에 대한 비교 가능
주문	주문작성시 설계자들이 요청한 날짜 보기
주문	주문작성시에 요청자 보기
주문	최근실적가 필드로 추가표시
파트너	아웃룩정보 Import기능
파트너	고객사 등록 시 등록이 안되는 오류
파트너	공급사명,소재지 등록시 ()를 넣으면 화면에서 깨지는 현상 
파트너	인명주소록 검색시 소팅기능 추가
파트너	파트너 공급사 삭제 안됨
판매	수주시 프로젝트 생성 구분
판매	납품서 공급받는자용
판매	납품일자 지정에 납품처 지정
판매	매입실적 분석
판매	매출실적분석
프로젝	프로젝트 삭제후 동일 코드로 등록하면 등록이 안되는 제한 없앰 
프로젝	공수입력시 사용자도 공수 입력할 수 있는 기능 추가
프로젝	완료된 프로젝트는 공수 입력못하게 함
프로젝	일정계획 수립시 처음 생성
프로젝	프로젝트 파일 업로드
프로젝	맨아워산출 및 원가환산
프로젝	일일 공수 입력 중에 자기 할당된 업무만 나오도록 함
프로젝	일일 공수 입력 했을시 화면이 진행이 안되는 오류 수정
프로젝	일일공수입력 마스터가 한 화면에 진행 과정을 볼 수 있음
PDF	FAX 수신함에 수신함에 멘트 기능
